,County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Quarter
32,Riverside,0,1,938,104,387,11,1441,q1_22.csv
33,Sacramento,69,18,826,544,258,18,1765,q1_22.csv
34,San Benito,0,0,12,10,25,0,47,q1_22.csv
35,San Bernardino,3,11,606,428,348,28,1424,q1_22.csv
36,San Diego,2,17,1887,4221,394,30,6551,q1_22.csv
37,San Francisco,12,6,622,631,113,31,1519,q1_22.csv
38,San Joaquin,0,0,180,207,95,9,565,q1_22.csv
39,San Luis Obispo,0,1,351,81,128,0,638,q1_22.csv
40,San Mateo,2,36,2043,1906,305,19,4688,q1_22.csv
41,Santa Barbara,3,2,303,100,71,1,480,q1_22.csv
42,Santa Clara,3,75,3766,11323,605,40,16831,q1_22.csv
43,Santa Cruz,1,0,178,66,64,0,333,q1_22.csv
44,Shasta,0,0,38,39,11,2,90,q1_22.csv
45,Sierra,0,0,1,0,0,0,1,q1_22.csv
46,Siskiyou,0,1,24,0,43,0,68,q1_22.csv
47,Solano,5,0,244,105,91,2,501,q1_22.csv
48,Sonoma,1,0,413,186,113,15,765,q1_22.csv
49,Stanislaus,1,1,55,31,44,1,149,q1_22.csv
50,Sutter,0,0,5,3,16,0,24,q1_22.csv
51,Tehama,0,0,11,35,19,1,66,q1_22.csv
52,Trinity,0,0,4,0,10,0,14,q1_22.csv
53,Tulare,0,3,51,32,46,22,154,q1_22.csv
54,Tuolumne,0,0,34,4,14,0,52,q1_22.csv
55,Unknown,0,0,0,16,0,0,273,q1_22.csv
56,Ventura,4,0,390,266,125,7,679,q1_22.csv
57,Yolo,12,0,202,102,50,0,299,q1_22.csv
58,Yuba,0,0,25,33,0,0,41,q1_22.csv
59,Total,184,401,28261,40942,7020,502,77310,q1_22.csv
0,Alameda,4,66,1473,2465,385,37,4430,q4_22.csv
1,Alpine,0,0,6,0,0,0,6,q4_22.csv
2,Amador,0,0,26,0,8,0,34,q4_22.csv
3,Butte,6,0,59,55,26,0,146,q4_22.csv
4,Calaveras,0,2,11,0,12,0,25,q4_22.csv
5,Colusa,0,0,14,2,18,0,34,q4_22.csv
6,Contra Costa,0,2,633,606,254,8,1503,q4_22.csv
7,Del Norte,0,0,14,1,22,2,39,q4_22.csv
8,El Dorado,1,0,138,4,45,1,189,q4_22.csv
9,Fresno,22,1,487,455,312,14,1291,q4_22.csv
10,Glenn,0,0,4,0,10,0,14,q4_22.csv
11,Humboldt,0,0,111,10,33,0,154,q4_22.csv
12,Imperial,0,0,12,12,24,1,49,q4_22.csv
13,Inyo,0,0,8,5,34,1,48,q4_22.csv
14,Kern,5,1,181,248,252,4,691,q4_22.csv
15,Kings,0,0,49,247,114,0,410,q4_22.csv
16,Lake,0,0,14,0,0,0,14,q4_22.csv
17,Lassen,0,1,7,0,8,0,16,q4_22.csv
18,Los Angeles,29,120,7269,17751,1556,290,27015,q4_22.csv
19,Madera,0,1,53,40,86,10,190,q4_22.csv
20,Marin,1,0,459,484,83,0,1027,q4_22.csv
21,Mariposa,0,0,28,0,18,0,46,q4_22.csv
22,Mendocino,0,0,127,20,39,0,186,q4_22.csv
23,Merced,10,2,33,31,56,3,135,q4_22.csv
24,Modoc,0,0,4,0,8,0,12,q4_22.csv
25,Mono,0,0,19,7,12,0,38,q4_22.csv
26,Monterey,0,0,216,62,145,1,424,q4_22.csv
27,Napa,0,0,330,24,42,0,396,q4_22.csv
28,Nevada,0,1,72,43,53,0,169,q4_22.csv
29,Orange,1,0,2666,1994,700,22,5383,q4_22.csv
30,Placer,0,1,207,106,137,4,455,q4_22.csv
31,Plumas,0,0,7,0,0,0,7,q4_22.csv
32,Riverside,0,1,990,179,454,11,1635,q4_22.csv
33,Sacramento,65,18,988,646,303,20,2040,q4_22.csv
34,San Benito,0,0,10,10,25,0,45,q4_22.csv
35,San Bernardino,3,11,679,490,467,32,1682,q4_22.csv
36,San Diego,2,17,2266,4860,561,29,7735,q4_22.csv
37,San Francisco,9,6,656,1126,121,34,1952,q4_22.csv
38,San Joaquin,0,0,198,280,141,13,632,q4_22.csv
39,San Luis Obispo,0,1,360,158,129,2,650,q4_22.csv
40,San Mateo,2,36,2013,2196,301,9,4557,q4_22.csv
41,Santa Barbara,1,2,286,124,97,2,512,q4_22.csv
42,Santa Clara,2,75,3632,13192,659,61,17621,q4_22.csv
43,Santa Cruz,1,0,188,91,79,0,359,q4_22.csv
44,Shasta,0,0,71,48,30,4,153,q4_22.csv
45,Sierra,0,0,1,0,0,0,1,q4_22.csv
46,Siskiyou,0,1,24,0,42,0,67,q4_22.csv
47,Solano,2,0,223,150,105,2,482,q4_22.csv
48,Sonoma,0,0,444,228,125,19,816,q4_22.csv
49,Stanislaus,0,1,78,47,59,3,188,q4_22.csv
50,Sutter,0,0,0,5,16,1,22,q4_22.csv
51,Tehama,0,0,8,46,32,1,87,q4_22.csv
52,Trinity,0,0,4,0,10,0,14,q4_22.csv
53,Tulare,0,3,80,64,61,23,231,q4_22.csv
54,Tuolumne,0,0,32,12,14,0,58,q4_22.csv
55,Ventura,4,0,387,312,149,6,858,q4_22.csv
56,Yolo,14,0,205,132,57,4,412,q4_22.csv
57,Yuba,0,0,20,51,4,0,75,q4_22.csv
58,Unknown,0,6,0,801,0,0,807,q4_22.csv
59,Total,184,376,28580,49920,8533,674,88267,q4_22.csv
0,Alameda,0,70,1724,2104,366,34,5139,q2_22.csv
1,Alpine,0,0,16,0,0,0,16,q2_22.csv
2,Amador,0,0,25,0,8,0,33,q2_22.csv
3,Butte,6,0,66,46,27,1,158,q2_22.csv
4,Calaveras,0,2,9,0,12,0,23,q2_22.csv
5,Colusa,0,0,18,0,18,0,36,q2_22.csv
6,Contra Costa,2,2,575,445,245,1,1699,q2_22.csv
7,Del Norte,0,0,12,1,17,2,32,q2_22.csv
8,El Dorado,1,0,144,0,48,0,193,q2_22.csv
9,Fresno,8,1,577,381,225,9,1321,q2_22.csv
10,Glenn,0,0,4,0,10,0,14,q2_22.csv
11,Humboldt,0,0,116,10,22,0,148,q2_22.csv
12,Imperial,0,0,12,11,20,0,43,q2_22.csv
