,County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Quarter
0,Alameda,6,70,1671,1583,332,35,3697,q42021.csv
1,Alpine,0,0,14,0,0,0,14,q42021.csv
2,Amador,0,0,25,6,8,0,39,q42021.csv
3,Butte,6,0,41,23,24,0,94,q42021.csv
4,Calaveras,0,2,7,0,12,0,21,q42021.csv
5,Colusa,0,0,18,2,18,0,38,q42021.csv
6,Contra Costa,3,2,600,599,245,2,1451,q42021.csv
7,Del Norte,0,0,12,0,17,0,29,q42021.csv
8,El Dorado,1,0,124,5,49,0,179,q42021.csv
9,Fresno,8,1,574,329,208,13,1133,q42021.csv
10,Glenn,0,0,4,0,10,0,14,q42021.csv
11,Humboldt,0,0,116,12,21,1,150,q42021.csv
12,Imperial,0,0,8,11,12,0,31,q42021.csv
13,Inyo,0,0,6,6,29,1,42,q42021.csv
14,Kern,4,1,155,53,199,4,416,q42021.csv
15,Kings,0,0,43,60,101,0,204,q42021.csv
16,Lake,0,0,14,0,0,0,14,q42021.csv
17,Lassen,0,1,4,0,8,0,13,q42021.csv
18,Los Angeles,31,147,7380,12252,1042,98,20950,q42021.csv
19,Madera,0,1,53,17,57,2,130,q42021.csv
20,Marin,1,0,463,187,87,1,739,q42021.csv
21,Mariposa,0,0,14,0,10,0,24,q42021.csv
22,Mendocino,0,0,112,11,37,0,160,q42021.csv
23,Merced,10,2,51,21,39,2,125,q42021.csv
24,Modoc,0,0,4,0,8,0,12,q42021.csv
25,Mono,0,0,20,0,12,0,32,q42021.csv
26,Monterey,4,0,242,78,127,1,452,q42021.csv
27,Napa,0,0,316,33,43,1,393,q42021.csv
28,Nevada,0,1,65,5,45,0,116,q42021.csv
29,Orange,4,0,2714,2581,533,20,5852,q42021.csv
30,Placer,0,1,196,106,115,1,419,q42021.csv
31,Plumas,0,0,7,0,0,0,7,q42021.csv
32,Riverside,3,1,981,186,367,10,1548,q42021.csv
33,Sacramento,69,18,825,639,256,6,1813,q42021.csv
34,San Benito,0,0,12,10,25,0,47,q42021.csv
35,San Bernardino,3,11,604,373,344,32,1367,q42021.csv
36,San Diego,2,17,1984,7649,379,49,10080,q42021.csv
37,San Francisco,36,6,688,772,104,24,1630,q42021.csv
38,San Joaquin,0,0,158,191,83,10,442,q42021.csv
39,San Luis Obispo,0,1,338,98,128,1,566,q42021.csv
40,San Mateo,2,36,2112,2054,281,26,4511,q42021.csv
41,Santa Barbara,4,2,328,157,64,2,557,q42021.csv
42,Santa Clara,3,75,3849,11440,565,55,15987,q42021.csv
43,Santa Cruz,1,0,166,78,62,0,307,q42021.csv
44,Shasta,0,0,38,38,7,3,86,q42021.csv
45,Sierra,0,0,1,0,0,0,1,q42021.csv
46,Siskiyou,0,1,24,4,43,0,72,q42021.csv
47,Solano,5,0,250,126,85,5,471,q42021.csv
48,Sonoma,4,0,434,228,113,15,794,q42021.csv
49,Stanislaus,1,1,57,35,44,13,151,q42021.csv
50,Sutter,0,0,5,6,16,0,27,q42021.csv
51,Tehama,0,0,11,4,20,0,35,q42021.csv
52,Trinity,0,0,4,0,2,0,6,q42021.csv
53,Tulare,0,3,42,11,45,22,123,q42021.csv
54,Tuolumne,0,0,34,6,38,0,78,q42021.csv
55,Unknown,0,0,0,14,0,0,14,q42021.csv
56,Ventura,5,0,423,332,126,8,894,q42021.csv
57,Yolo,12,0,205,127,50,0,394,q42021.csv
58,Yuba,0,0,25,7,0,0,32,q42021.csv
59,Total,228,401,28671,42565,6695,463,79023,q42021.csv
0,Alameda,14,63,1633,1497,310,43,3560,q22021.csv
1,Alpine,0,0,14,1,0,0,15,q22021.csv
2,Amador,0,0,25,7,8,0,40,q22021.csv
3,Butte,6,0,44,22,17,2,91,q22021.csv
4,Calaveras,0,0,7,0,12,0,19,q22021.csv
5,Colusa,0,0,18,2,10,0,30,q22021.csv
6,Contra Costa,7,2,582,660,203,7,1461,q22021.csv
7,Del Norte,0,0,10,0,15,0,25,q22021.csv
8,El Dorado,1,0,124,6,45,1,177,q22021.csv
9,Fresno,8,1,562,346,197,13,1127,q22021.csv
10,Glenn,0,0,4,0,10,0,14,q22021.csv
11,Humboldt,0,0,99,13,21,1,134,q22021.csv
12,Imperial,0,0,8,13,12,0,33,q22021.csv
13,Inyo,0,0,6,6,26,1,39,q22021.csv
14,Kern,4,0,126,52,119,5,306,q22021.csv
15,Kings,0,0,42,60,45,0,147,q22021.csv
16,Lake,0,0,14,3,0,0,17,q22021.csv
17,Lassen,0,1,4,1,0,0,6,q22021.csv
18,Los Angeles,33,147,7087,11954,842,130,20193,q22021.csv
19,Madera,0,0,53,19,49,0,121,q22021.csv
20,Marin,4,0,445,189,87,5,730,q22021.csv
21,Mariposa,0,0,8,0,8,0,16,q22021.csv
22,Mendocino,0,0,110,11,37,0,158,q22021.csv
23,Merced,10,2,51,37,39,3,142,q22021.csv
24,Modoc,0,0,4,0,8,0,12,q22021.csv
25,Mono,0,0,20,0,12,0,32,q22021.csv
26,Monterey,12,0,233,80,105,1,431,q22021.csv
27,Napa,0,0,312,31,43,2,388,q22021.csv
28,Nevada,0,0,48,7,33,0,88,q22021.csv
29,Orange,9,0,2552,2401,477,38,5477,q22021.csv
30,Placer,0,1,149,102,110,3,365,q22021.csv
