,County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Quarter
31,Plumas,0,0,7,0,0,0,7,q22021.csv
32,Riverside,7,1,902,198,324,9,1441,q22021.csv
33,Sacramento,83,6,768,793,195,7,1852,q22021.csv
34,San Benito,0,0,12,10,25,0,47,q22021.csv
35,San Bernardino,3,3,566,511,288,44,1415,q22021.csv
36,San Diego,2,5,1955,4874,307,56,7199,q22021.csv
37,San Francisco,52,5,669,815,104,26,1671,q22021.csv
38,San Joaquin,0,0,139,174,79,10,402,q22021.csv
39,San Luis Obispo,0,1,304,105,102,1,513,q22021.csv
40,San Mateo,2,36,2039,2085,258,39,4459,q22021.csv
41,Santa Barbara,5,2,281,164,37,3,492,q22021.csv
42,Santa Clara,6,74,3722,11755,549,96,16202,q22021.csv
43,Santa Cruz,1,0,153,89,57,0,300,q22021.csv
44,Shasta,0,0,25,58,7,3,93,q22021.csv
45,Sierra,0,0,1,0,0,0,1,q22021.csv
46,Siskiyou,0,0,20,4,43,0,67,q22021.csv
47,Solano,5,0,231,101,80,4,421,q22021.csv
48,Sonoma,7,0,432,245,90,17,791,q22021.csv
49,Stanislaus,0,0,57,43,37,13,150,q22021.csv
50,Sutter,0,0,10,9,12,0,31,q22021.csv
51,Tehama,0,0,7,4,19,0,30,q22021.csv
52,Trinity,0,0,4,0,2,0,6,q22021.csv
53,Tulare,0,0,42,12,43,22,119,q22021.csv
54,Tuolumne,0,0,32,8,10,0,50,q22021.csv
55,Unknown,0,0,0,11,0,0,11,q22021.csv
56,Ventura,8,0,416,325,125,19,893,q22021.csv
57,Yolo,12,0,195,130,49,0,386,q22021.csv
58,Yuba,0,0,9,7,0,0,16,q22021.csv
59,Total,301,350,27392,40050,5742,624,74459,q22021.csv
0,Alameda,14,66,1633,1554,315,43,3625,q32021.csv
1,Alpine,0,0,14,1,0,0,15,q32021.csv
2,Amador,0,0,25,7,8,0,40,q32021.csv
3,Butte,6,0,41,22,21,2,92,q32021.csv
4,Calaveras,0,2,7,0,12,0,21,q32021.csv
5,Colusa,0,0,18,2,14,0,34,q32021.csv
6,Contra Costa,7,2,599,660,208,7,1483,q32021.csv
7,Del Norte,0,0,12,0,17,0,29,q32021.csv
8,El Dorado,1,0,124,6,49,1,181,q32021.csv
9,Fresno,8,1,566,346,209,13,1143,q32021.csv
10,Glenn,0,0,4,0,10,0,14,q32021.csv
11,Humboldt,0,0,107,13,21,1,142,q32021.csv
12,Imperial,0,0,8,13,12,0,33,q32021.csv
13,Inyo,0,0,6,6,26,1,39,q32021.csv
14,Kern,4,1,126,52,171,5,359,q32021.csv
15,Kings,0,0,43,60,45,0,148,q32021.csv
16,Lake,0,0,14,3,0,0,17,q32021.csv
17,Lassen,0,1,4,1,8,0,14,q32021.csv
18,Los Angeles,33,147,7124,12141,944,131,20520,q32021.csv
19,Madera,0,1,53,19,49,0,122,q32021.csv
20,Marin,4,0,449,189,87,5,734,q32021.csv
21,Mariposa,0,0,20,0,10,0,30,q32021.csv
22,Mendocino,0,0,108,13,37,0,158,q32021.csv
23,Merced,10,2,51,37,39,3,142,q32021.csv
24,Modoc,0,0,4,0,8,0,12,q32021.csv
25,Mono,0,0,20,0,12,0,32,q32021.csv
26,Monterey,9,0,230,80,105,1,425,q32021.csv
27,Napa,0,0,314,31,43,2,390,q32021.csv
28,Nevada,0,1,48,7,33,0,89,q32021.csv
29,Orange,9,0,2638,2477,495,38,5657,q32021.csv
30,Placer,0,1,185,102,111,3,402,q32021.csv
31,Plumas,0,0,7,0,0,0,7,q32021.csv
32,Riverside,7,1,929,199,350,9,1495,q32021.csv
33,Sacramento,68,18,732,793,218,7,1836,q32021.csv
34,San Benito,0,0,14,10,25,0,49,q32021.csv
35,San Bernardino,3,11,557,545,318,44,1478,q32021.csv
36,San Diego,2,17,1938,4901,364,56,7278,q32021.csv
37,San Francisco,52,6,695,957,104,26,1840,q32021.csv
38,San Joaquin,0,0,143,174,80,10,407,q32021.csv
39,San Luis Obispo,0,1,304,105,102,1,513,q32021.csv
40,San Mateo,2,36,2124,2232,267,40,4701,q32021.csv
41,Santa Barbara,5,2,295,168,49,3,522,q32021.csv
42,Santa Clara,3,75,3756,12011,551,102,16498,q32021.csv
43,Santa Cruz,1,0,158,89,58,0,306,q32021.csv
44,Shasta,0,0,25,58,6,3,92,q32021.csv
45,Sierra,0,0,1,0,0,0,1,q32021.csv
46,Siskiyou,0,1,20,4,43,0,68,q32021.csv
47,Solano,5,0,230,101,81,4,421,q32021.csv
48,Sonoma,7,0,435,247,97,17,803,q32021.csv
49,Stanislaus,0,1,57,43,44,13,158,q32021.csv
50,Sutter,0,0,12,9,12,0,33,q32021.csv
51,Tehama,0,0,7,4,20,0,31,q32021.csv
52,Trinity,0,0,4,0,2,0,6,q32021.csv
53,Tulare,0,3,42,12,45,22,124,q32021.csv
54,Tuolumne,0,0,32,8,14,0,54,q32021.csv
55,Unknown,0,0,0,11,0,0,11,q32021.csv
56,Ventura,8,0,417,325,125,19,894,q32021.csv
57,Yolo,12,0,196,130,50,0,388,q32021.csv
58,Yuba,0,0,9,7,0,0,16,q32021.csv
59,Total,280,397,27734,40985,6144,632,76172,q32021.csv
0,Alameda,14,14,1519,1472,296,38,3353,q12021.csv
1,Alpine,0,0,14,1,0,0,15,q12021.csv
2,Amador,0,0,25,7,8,0,40,q12021.csv
3,Butte,6,0,30,22,16,2,76,q12021.csv
4,Calaveras,0,0,7,0,0,0,7,q12021.csv
5,Colusa,0,0,16,2,10,0,28,q12021.csv
6,Contra Costa,8,0,514,658,168,7,1355,q12021.csv
7,Del Norte,0,0,10,0,20,0,30,q12021.csv
8,El Dorado,1,0,122,6,43,1,173,q12021.csv
9,Fresno,8,0,391,333,175,14,921,q12021.csv
10,Glenn,0,0,4,0,10,0,14,q12021.csv
11,Humboldt,0,0,76,13,22,1,112,q12021.csv
12,Imperial,0,0,8,7,12,0,27,q12021.csv
13,Inyo,0,0,8,3,26,0,37,q12021.csv
14,Kern,4,0,108,60,102,5,279,q12021.csv
15,Kings,0,0,42,60,42,0,144,q12021.csv
16,Lake,0,0,12,3,0,0,15,q12021.csv
17,Lassen,0,0,4,1,0,0,5,q12021.csv
18,Los Angeles,33,46,6560,11694,787,116,19236,q12021.csv
19,Madera,0,0,50,19,44,0,113,q12021.csv
20,Marin,8,0,417,189,87,5,706,q12021.csv
21,Mariposa,0,0,8,0,8,0,16,q12021.csv
22,Mendocino,0,0,104,11,29,0,144,q12021.csv
23,Merced,10,0,52,37,28,3,130,q12021.csv
24,Modoc,0,0,4,0,0,0,4,q12021.csv
25,Mono,0,0,20,0,12,0,32,q12021.csv
26,Monterey,15,0,231,82,93,1,422,q12021.csv
27,Napa,1,0,301,31,39,2,374,q12021.csv
28,Nevada,0,0,47,7,39,0,93,q12021.csv
29,Orange,9,0,2384,2324,487,38,5242,q12021.csv
30,Placer,0,1,133,114,100,3,351,q12021.csv
31,Plumas,0,0,7,0,0,0,7,q12021.csv
32,Riverside,7,0,891,198,359,9,1464,q12021.csv
33,Sacramento,83,6,690,799,192,7,1777,q12021.csv
34,San Benito,0,0,12,10,28,0,50,q12021.csv
35,San Bernardino,3,0,524,470,295,46,1338,q12021.csv
36,San Diego,2,3,1863,4678,287,41,6874,q12021.csv
37,San Francisco,55,3,661,717,53,16,1505,q12021.csv
38,San Joaquin,0,0,129,166,84,10,389,q12021.csv
39,San Luis Obispo,1,0,305,104,82,1,493,q12021.csv
40,San Mateo,2,16,1656,2119,235,42,4070,q12021.csv
41,Santa Barbara,7,0,278,167,39,3,494,q12021.csv
42,Santa Clara,11,20,3181,11599,499,96,15406,q12021.csv
43,Santa Cruz,1,0,133,89,58,0,281,q12021.csv
44,Shasta,0,0,25,58,10,3,96,q12021.csv
45,Sierra,0,0,1,0,0,0,1,q12021.csv
46,Siskiyou,0,0,20,4,39,0,63,q12021.csv
47,Solano,5,0,178,102,83,4,372,q12021.csv
48,Sonoma,14,0,404,231,91,3,743,q12021.csv
49,Stanislaus,0,0,51,41,40,13,145,q12021.csv
50,Sutter,0,0,10,9,12,0,31,q12021.csv
51,Tehama,0,0,5,4,23,0,32,q12021.csv
52,Trinity,0,0,4,0,4,0,8,q12021.csv
53,Tulare,0,0,49,12,32,10,103,q12021.csv
54,Tuolumne,0,0,30,8,9,0,47,q12021.csv
55,Unknown,0,0,0,11,0,0,11,q12021.csv
56,Ventura,6,0,387,312,121,19,845,q12021.csv
57,Yolo,12,0,156,130,26,0,324,q12021.csv
58,Yuba,0,0,9,7,0,0,16,q12021.csv
59,Total,326,109,24880,39201,5404,559,70479,q12021.csv
